"riding_id","election_id","order","cre_id","party_name","candidate_name","re_id","votes","votes_percent","delta_percent","expenditures","elected"
"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix","F2015",1,"F2015:Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix:Jean-Roger Vigneau:Liberal","Liberal","Jean-Roger Vigneau","F2015:Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix",13556,26.89,NA,"23600.03",FALSE
"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix","F2015",3,"F2015:Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix:Jonathan Tremblay:New Democratic","New Democratic","Jonathan Tremblay","F2015:Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix",9306,18.46,NA,"32591.88",FALSE
"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix","F2015",4,"F2015:Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix:Patrick Kerr:Green","Green","Patrick Kerr","F2015:Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix",859,1.7,NA,NA,FALSE
"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix","F2015",0,"F2015:Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix:Sylvie Boucher:Conservative","Conservative","Sylvie Boucher","F2015:Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix",16903,33.53,NA,"46981.59",TRUE
"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix","F2015",2,"F2015:Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix:Sébastien Dufour:Bloc Québécois","Bloc Québécois","Sébastien Dufour","F2015:Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix",9650,19.14,NA,"32235.25",FALSE
"Beauport-Limoilou","F2015",0,"F2015:Beauport-Limoilou:Alupa Clarke:Conservative","Conservative","Alupa Clarke","F2015:Beauport-Limoilou",15461,30.58,NA,"67512.75",TRUE
"Beauport-Limoilou","F2015",2,"F2015:Beauport-Limoilou:Antoine Bujold:Liberal","Liberal","Antoine Bujold","F2015:Beauport-Limoilou",12854,25.41,NA,"36012.79",FALSE
"Beauport-Limoilou","F2015",4,"F2015:Beauport-Limoilou:Dalila Elhak:Green","Green","Dalila Elhak","F2015:Beauport-Limoilou",1220,2.41,NA,"1343.81",FALSE
"Beauport-Limoilou","F2015",3,"F2015:Beauport-Limoilou:Doni Berberi:Bloc Québécois","Bloc Québécois","Doni Berberi","F2015:Beauport-Limoilou",7467,14.77,NA,"10571.92",FALSE
"Beauport-Limoilou","F2015",1,"F2015:Beauport-Limoilou:Raymond Côté:New Democratic","New Democratic","Raymond Côté","F2015:Beauport-Limoilou",12881,25.48,NA,"81796.66",FALSE
